shop_name,url,place,types,star,price_dinner,price_lunch,holiday
パティスリー・タァイ アトレ大井町店,https://tabelog.com/tokyo/A1315/A131501/13113647/,大井町駅 143m,ケーキ,3.07,-,～￥999,不定休（アトレに準ずる）
パティスリー ストラスブール+ビー 多摩センター店,https://tabelog.com/tokyo/A1327/A132702/13251945/,小田急多摩センター駅 12m,ケーキ,3.06,～￥999,～￥999,不定休
パティスリー・スワロウテイル 東急ハンズ池袋店出張所,https://tabelog.com/tokyo/A1305/A130501/13202172/,東池袋駅 470m,ケーキ,3.05,～￥999,￥1000～￥1999,-
パティスリー ムッシュ エム 瑞穂店,https://tabelog.com/tokyo/A1329/A132901/13061589/,西多摩郡瑞穂町,ケーキ,3.05,-,～￥999,-
パティスリー ジュンウジタ 二子玉川店,https://tabelog.com/tokyo/A1317/A131708/13247809/,二子玉川駅 434m,ケーキ,3.04,-,￥2000～￥2999,-
パティスリー銀座千疋屋 銀座SIX店,https://tabelog.com/tokyo/A1301/A130101/13207678/,銀座駅 215m,洋菓子（その他）,3.03,-,￥1000～￥1999,-
パティスリー カメリア 銀座 新宿伊勢丹店,https://tabelog.com/tokyo/A1304/A130401/13257677/,新宿三丁目駅 59m,ケーキ,3,-,-,-
パティスリー・サダハル・アオキ・パリ 銀座三越,https://tabelog.com/tokyo/A1301/A130101/13247634/,銀座駅 154m,マカロン、洋菓子（その他）,3,-,～￥999,銀座三越に準ずる
パティスリー デリーモ 新宿伊勢丹店,https://tabelog.com/tokyo/A1304/A130401/13249706/,新宿三丁目駅 59m,ケーキ,3,～￥999,～￥999,施設に準ずる
パティスリーグランタミア,https://tabelog.com/tokyo/A1329/A132901/13227432/,立飛駅 815m,ケーキ,-,-,-,水曜日・毎月最終火曜日
patisserie amehare,https://tabelog.com/tokyo/A1317/A131709/13267230/,若林駅 339m,ケーキ、洋菓子（その他）、スイーツ（その他）,-,-,-,-
パティスリー デリーモ ルミネ立川店,https://tabelog.com/tokyo/A1329/A132901/13222316/,立川駅 33m,ケーキ、チョコレート、洋菓子（その他）,-,-,-,ルミネ立川店に準ずる
