shop_name,url,place,types,star,price_dinner,price_lunch,holiday
パティスリー クール＆ハート,https://tabelog.com/tokyo/A1327/A132701/13190362/,町田市,ケーキ,3.09,-,～￥999,水曜日(臨時休業有り)
パティスリー ベル・エキップ,https://tabelog.com/tokyo/A1324/A132403/13177470/,京成高砂駅 297m,ケーキ,3.09,￥1000～￥1999,￥1000～￥1999,火曜・水曜・他定休日
パティスリー レジュニール,https://tabelog.com/tokyo/A1328/A132804/13242745/,花小金井駅 285m,ケーキ、チョコレート、洋菓子（その他）,3.09,￥1000～￥1999,￥1000～￥1999,水曜日、木曜日
パティスリーカメリア銀座 渋谷東急フードショー店,https://tabelog.com/tokyo/A1303/A130301/13260538/,渋谷駅 259m,ケーキ、マカロン,3.08,～￥999,～￥999,-
パティスリー プレジレイル,https://tabelog.com/tokyo/A1321/A132101/13247083/,椎名町駅 396m,ケーキ,3.08,-,～￥999,月曜日、日曜日
パティスリー アン・ドゥ 錦糸町テルミナ店,https://tabelog.com/tokyo/A1312/A131201/13208217/,錦糸町駅 57m,ケーキ、洋菓子（その他）,3.08,￥2000～￥2999,￥1000～￥1999,錦糸町テルミナ1に準ずる
パティスリー ジャルダン ヴェール,https://tabelog.com/tokyo/A1328/A132801/13210492/,ひばりケ丘駅 288m,ケーキ、洋菓子（その他）,3.08,～￥999,～￥999,水曜日
パティスリー プー ア プー,https://tabelog.com/tokyo/A1329/A132903/13158070/,豊田駅 346m,ケーキ,3.08,-,～￥999,日・月・火
パティスリーフランセーズ ミフネ,https://tabelog.com/tokyo/A1323/A132302/13107611/,向原駅 319m,パン、洋菓子（その他）、ケーキ,3.08,-,～￥999,-
パティスリー木花,https://tabelog.com/tokyo/A1321/A132101/13130698/,椎名町駅 280m,ケーキ,3.08,￥1000～￥1999,-,火曜日、第3水曜日
パティスリー ムッシュ エム 田無駅前 MILK店,https://tabelog.com/tokyo/A1328/A132801/13061588/,田無駅 134m,洋菓子（その他）、アイスクリーム,3.08,～￥999,-,無休(アスタに準ずる)
patisserie J'ouvre,https://tabelog.com/tokyo/A1301/A130101/13270328/,銀座駅 138m,ケーキ,3.07,-,～￥999,施設に準ずる
パティスリー・アン・フォンド・ソレイユ 青戸店,https://tabelog.com/tokyo/A1324/A132403/13199189/,青砥駅 83m,ケーキ、洋菓子（その他）,3.07,-,～￥999,水曜日
パティスリー ハスミ,https://tabelog.com/tokyo/A1321/A132101/13247905/,椎名町駅 201m,ケーキ、洋菓子（その他）,3.07,-,～￥999,水曜日、不定休
パティスリー プリマヴェーラ,https://tabelog.com/tokyo/A1323/A132305/13246842/,浮間舟渡駅 187m,ケーキ、ソフトクリーム、マカロン,3.07,￥1000～￥1999,～￥999,月曜日、火曜日(月曜火曜が祝日･休日の場合はお休みが前...
パティスリー ジェント,https://tabelog.com/tokyo/A1312/A131204/13224362/,小岩駅 255m,ケーキ,3.07,～￥999,～￥999,月曜日
パティスリー パブロフ,https://tabelog.com/tokyo/A1307/A130701/13246172/,六本木駅 137m,ケーキ,3.07,-,～￥999,-
パティスリーレシャス,https://tabelog.com/tokyo/A1328/A132806/13212188/,八坂駅 108m,ケーキ,3.06,-,～￥999,月曜日
パティスリーツナグ,https://tabelog.com/tokyo/A1329/A132901/13225984/,立川北駅 718m,ケーキ,3.06,-,～￥999,月曜日
パティスリー・フォルミダーブル,https://tabelog.com/tokyo/A1327/A132701/13163349/,町田市,ケーキ,3.06,-,～￥999,木曜日
パティスリー ミィー,https://tabelog.com/tokyo/A1312/A131204/13240961/,江戸川駅 207m,ケーキ、マカロン、洋菓子（その他）,3.06,-,～￥999,月曜日、火曜日
パティスリーマノ,https://tabelog.com/tokyo/A1317/A131714/13135376/,蓮沼駅 969m,ケーキ,3.06,-,～￥999,水曜日
パティスリー 銀座千疋屋,https://tabelog.com/tokyo/A1323/A132305/13198785/,赤羽駅 26m,スイーツ（その他）、ケーキ,3.05,～￥999,～￥999,-
ラ・メゾン アンソレイユターブル パティスリー エキュート赤羽店,https://tabelog.com/tokyo/A1323/A132305/13160898/,赤羽駅 23m,ケーキ,3.05,￥1000～￥1999,-,不定休(エキュート赤羽に準ずる)
パティスリー モンシェール 阪急大井食品館店,https://tabelog.com/tokyo/A1315/A131501/13123948/,大井町駅 203m,スイーツ（その他）、ケーキ,3.05,-,￥3000～￥3999,-
ラ・メゾン・アンソレイユ・ターブルパティスリー 有楽町イトシア店,https://tabelog.com/tokyo/A1301/A130102/13189857/,有楽町駅 118m,ケーキ,3.05,-,～￥999,不定休
ラ・メゾン アンソレイユターブル パティスリー ルミネ立川店,https://tabelog.com/tokyo/A1329/A132901/13079205/,立川駅 63m,ケーキ,3.05,-,￥1000～￥1999,不定休
パティスリー ハーモニカ,https://tabelog.com/tokyo/A1319/A131905/13235682/,南阿佐ケ谷駅 166m,ケーキ,3.05,～￥999,￥1000～￥1999,水曜日、木曜日
ラ・メゾン アンソレイユターブル パティスリー グランベリーパーク店,https://tabelog.com/tokyo/A1327/A132701/13241711/,南町田グランベリーパーク駅 270m,ケーキ,3.05,-,￥1000～￥1999,無休
パティスリー・コウゲツ,https://tabelog.com/tokyo/A1315/A131503/13212110/,雑色駅 310m,ケーキ,3.05,-,￥1000～￥1999,日曜日
パティスリーキハチ,https://tabelog.com/tokyo/A1302/A130202/13187815/,日本橋駅 185m,洋菓子（その他）,3.05,-,￥2000～￥2999,不定休(日本橋タカシマヤに準ずる)
パティスリー インフィニティ,https://tabelog.com/tokyo/A1327/A132701/13207942/,玉川学園前駅 275m,ケーキ,3.05,-,～￥999,木曜日
パティスリー シェルブール,https://tabelog.com/tokyo/A1328/A132806/13195849/,東村山市,ケーキ,3.05,～￥999,～￥999,無休
パティスリー　ル・ソレイユ,https://tabelog.com/tokyo/A1327/A132701/13183020/,町田市,洋菓子（その他）,3.05,-,～￥999,火曜日
パティスリー le. Egao,https://tabelog.com/tokyo/A1315/A131504/13262339/,糀谷駅 73m,ケーキ,3.05,-,-,火曜日
パティスリー ル シャトー,https://tabelog.com/tokyo/A1328/A132805/13244644/,東大和市駅 686m,ケーキ、洋菓子（その他）,3.05,-,～￥999,月曜日
Patisserie Corte,https://tabelog.com/tokyo/A1322/A132205/13266432/,西台駅 235m,ケーキ,3.05,-,～￥999,月曜日
ラ・メゾン アンソレイユターブル パティスリー セレオ八王子店,https://tabelog.com/tokyo/A1329/A132904/13148942/,八王子駅 64m,ケーキ,3.04,-,￥1000～￥1999,不定休(セレオ八王子に準ずる)
ラ・メゾン アンソレイユターブル パティスリー 上野マルイ店,https://tabelog.com/tokyo/A1311/A131101/13261690/,京成上野駅 230m,ケーキ,3.04,-,￥1000～￥1999,-
ラ・メゾン アンソレイユターブル パティスリー 錦糸町テルミナ店,https://tabelog.com/tokyo/A1312/A131201/13241302/,錦糸町駅 51m,ケーキ,3.04,～￥999,～￥999,無休
パティスリー アンド カフェ ラ ノブティック シー,https://tabelog.com/tokyo/A1322/A132204/13221112/,下赤塚駅 240m,ケーキ、カフェ,3.04,-,～￥999,第2火曜日・水曜日
パティスリー ディンゴ,https://tabelog.com/tokyo/A1312/A131204/13246725/,新小岩駅 503m,ケーキ、パン,3.04,-,-,-
パティスリー ラ クロシェット,https://tabelog.com/tokyo/A1328/A132803/13242875/,秋津駅 913m,ケーキ,3.04,-,～￥999,木曜日
パティスリー ピネード 有明ガーデンシティ店,https://tabelog.com/tokyo/A1313/A131306/13247453/,有明テニスの森駅 400m,ケーキ、洋菓子（その他）,3.03,～￥999,～￥999,無休
パティスリートミリエ,https://tabelog.com/tokyo/A1329/A132904/13164775/,西八王子駅 147m,ケーキ、パン,3.03,-,～￥999,木曜日
パティスリー キハチ 東京ソラマチ店,https://tabelog.com/tokyo/A1312/A131203/13243062/,とうきょうスカイツリー駅 148m,洋菓子（その他）、スイーツ（その他）,3.03,-,～￥999,-
パティスリーmaru's 錦糸町店,https://tabelog.com/tokyo/A1312/A131201/13272099/,錦糸町駅 677m,ケーキ,3.03,-,～￥999,水曜日
パティスリー アトリエ レヴ・ドゥ・ラパン,https://tabelog.com/tokyo/A1322/A132205/13265844/,板橋区,ケーキ,3.03,～￥999,～￥999,-
氷と宝石のパティスリー リリアンキュキュ,https://tabelog.com/tokyo/A1311/A131101/13259729/,末広町駅 254m,カフェ・喫茶（その他）,3.03,-,￥1000～￥1999,-
パティスリーキハチ 西武渋谷店,https://tabelog.com/tokyo/A1303/A130301/13208164/,渋谷駅 224m,ケーキ、洋菓子（その他）,3.02,～￥999,￥2000～￥2999,西武渋谷店に準ずる
パティスリー ル ソレイユ,https://tabelog.com/tokyo/A1329/A132905/13227490/,八王子市,ケーキ、洋菓子（その他）,3.02,～￥999,～￥999,火曜・水曜
パティスリー メゾン 3110,https://tabelog.com/tokyo/A1312/A131202/13240985/,東大島駅 756m,ケーキ、パン、洋菓子（その他）,3.02,-,～￥999,-
パティスリー プランドル,https://tabelog.com/tokyo/A1330/A133002/13239041/,牛浜駅 55m,ケーキ,3.02,-,～￥999,火曜日、水曜日
パティスリーモード 伊勢丹立川店,https://tabelog.com/tokyo/A1329/A132901/13231250/,立川北駅 38m,ケーキ、洋菓子（その他）,3.02,～￥999,～￥999,-
パティスリー デリーモ ららぽーと豊洲店,https://tabelog.com/tokyo/A1313/A131307/13245853/,豊洲駅 319m,カフェ、洋菓子（その他）,3.01,￥1000～￥1999,￥1000～￥1999,無休
パティスリー カシュカシュ ひばりヶ丘店,https://tabelog.com/tokyo/A1328/A132801/13240859/,ひばりケ丘駅 798m,ケーキ、洋菓子（その他）,3.01,-,～￥999,-
パティスリー ア・ラ・カンパーニュ 東武池袋店,https://tabelog.com/tokyo/A1305/A130501/13266303/,池袋駅 79m,ケーキ、洋菓子（その他）,3.01,～￥999,-,-
パティスリー エ カフェ ア・ラ・カンパーニュ セレオ国分寺店,https://tabelog.com/tokyo/A1325/A132502/13258125/,国分寺駅 67m,カフェ、ケーキ,3.01,￥1000～￥1999,￥1000～￥1999,-
パティスリー ファボス,https://tabelog.com/tokyo/A1320/A132003/13253755/,武蔵境駅 700m,洋菓子（その他）、ケーキ,3.01,-,￥3000～￥3999,-
patisserie OKASHI GAKU 押上,https://tabelog.com/tokyo/A1312/A131203/13266948/,押上駅 299m,ケーキ,3,-,-,-
パティスリー エス スドウ,https://tabelog.com/tokyo/A1318/A131806/13246533/,三鷹台駅 909m,ケーキ、洋菓子（その他）,3,-,-,月曜日、日曜日、土曜日不定休
パティスリー カリン,https://tabelog.com/tokyo/A1302/A130203/13268956/,八丁堀駅 238m,ケーキ,3,-,￥1000～￥1999,日曜日、臨時休業あり
PATISSERIE LAYERS,https://tabelog.com/tokyo/A1321/A132104/13257118/,都立家政駅 80m,洋菓子（その他）,3,-,～￥999,月曜・火曜・日曜
パティスリー・ジューンベリー,https://tabelog.com/tokyo/A1327/A132701/13181455/,町田市,ケーキ、カフェ,3,～￥999,-,月曜日・第2火曜日・第4火曜日
Patisserie Swallowtail Maji Crepe 巣鴨,https://tabelog.com/tokyo/A1323/A132301/13271019/,巣鴨駅 435m,クレープ、ケーキ,3,￥1000～￥1999,￥1000～￥1999,-
PATISSERIE DU CHEF FUJIU 多摩平店,https://tabelog.com/tokyo/A1329/A132903/13267823/,豊田駅 295m,ケーキ,3,-,-,-
パティスリー モン・プレジール 東大和店,https://tabelog.com/tokyo/A1328/A132805/13182145/,桜街道駅 731m,ケーキ、マカロン,3,-,-,不定休(ザ・マーケットプレイス東大和店に準ずる)
